City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Phan Thiet,VN,2020-05-07 23:40:18,10.93,108.1,82.96,75,100,4.68
283,Litein,KE,2020-05-07 23:40:18,-0.58,35.19,57.99,97,97,3.42
284,Pemangkat,ID,2020-05-07 23:40:18,1.17,108.97,79.79,86,57,3.91
285,Chipata,ZM,2020-05-07 23:40:18,-13.63,32.65,55.94,88,14,6.67
286,College,US,2020-05-07 23:40:18,64.86,-147.8,66.99,24,40,4.7
287,Vao,NC,2020-05-07 23:40:18,-22.67,167.48,72.39,82,100,32.44
288,Buraydah,SA,2020-05-07 23:40:18,26.33,43.98,80.6,30,6,9.17
289,Comodoro Rivadavia,AR,2020-05-07 23:36:30,-45.87,-67.5,71.6,46,98,9.17
290,Kota,IN,2020-05-07 23:40:19,25.18,75.83,83.46,16,22,2.19
291,Formosa,AR,2020-05-07 23:40:19,-26.18,-58.18,53.6,87,0,4.59
292,Solnechnyy,RU,2020-05-07 23:40:19,50.72,136.63,59.59,37,100,11.07
293,Iqaluit,CA,2020-05-07 23:40:19,63.75,-68.51,30.2,54,75,10.29
294,Galveston,US,2020-05-07 23:40:19,29.37,-94.97,79.0,69,75,20.8
295,Shirokiy,RU,2020-05-07 23:40:19,49.76,129.52,54.86,63,92,9.15
296,Zhangye,CN,2020-05-07 23:40:19,38.93,100.45,48.47,53,96,2.82
297,Mazagao,BR,2020-05-07 23:40:19,-0.12,-51.29,80.6,100,75,5.82
298,Ginir,ET,2020-05-07 23:40:20,7.13,40.7,57.29,96,75,3.4
299,Ambilobe,MG,2020-05-07 23:40:20,-13.2,49.05,70.92,89,1,3.29
300,Raudeberg,NO,2020-05-07 23:40:20,61.99,5.14,43.0,91,100,25.34
301,Port Macquarie,AU,2020-05-07 23:40:20,-31.43,152.92,66.0,73,0,2.89
302,Kavieng,PG,2020-05-07 23:40:20,-2.57,150.8,85.15,68,0,8.32
303,Geraldton,AU,2020-05-07 23:40:20,-28.77,114.6,55.4,93,75,5.82
